FIPS_Code,State,Area_Name,Annual_Salary
5025,AR,"Cleveland County, AR",0
5027,AR,"Columbia County, AR",0
5029,AR,"Conway County, AR",0
5031,AR,"Craighead County, AR",0
5033,AR,"Crawford County, AR",0
5035,AR,"Crittenden County, AR",0
5037,AR,"Cross County, AR",0
5039,AR,"Dallas County, AR",0
5041,AR,"Desha County, AR",0
5043,AR,"Drew County, AR",0
5045,AR,"Faulkner County, AR",0
5047,AR,"Franklin County, AR",0
5049,AR,"Fulton County, AR",0
5051,AR,"Garland County, AR",0
5053,AR,"Grant County, AR",0
5055,AR,"Greene County, AR",0
5057,AR,"Hempstead County, AR",0
5059,AR,"Hot Spring County, AR",0
5061,AR,"Howard County, AR",0
5063,AR,"Independence County, AR",0
5065,AR,"Izard County, AR",0
5067,AR,"Jackson County, AR",0
5069,AR,"Jefferson County, AR",0
5071,AR,"Johnson County, AR",0
5073,AR,"Lafayette County, AR",0
5075,AR,"Lawrence County, AR",0
5077,AR,"Lee County, AR",0
5079,AR,"Lincoln County, AR",0
5081,AR,"Little River County, AR",0
5083,AR,"Logan County, AR",0
5085,AR,"Lonoke County, AR",0
5087,AR,"Madison County, AR",0
5089,AR,"Marion County, AR",0
5091,AR,"Miller County, AR",0
5093,AR,"Mississippi County, AR",0
5095,AR,"Monroe County, AR",0
5097,AR,"Montgomery County, AR",0
5099,AR,"Nevada County, AR",0
5101,AR,"Newton County, AR",0
5103,AR,"Ouachita County, AR",0
5105,AR,"Perry County, AR",0
5107,AR,"Phillips County, AR",0
5109,AR,"Pike County, AR",0
5111,AR,"Poinsett County, AR",0
5113,AR,"Polk County, AR",0
5115,AR,"Pope County, AR",0
5117,AR,"Prairie County, AR",0
5119,AR,"Pulaski County, AR",0
5121,AR,"Randolph County, AR",0
5123,AR,"St. Francis County, AR",0
5125,AR,"Saline County, AR",0
5127,AR,"Scott County, AR",0
5129,AR,"Searcy County, AR",0
5131,AR,"Sebastian County, AR",0
5133,AR,"Sevier County, AR",0
5135,AR,"Sharp County, AR",0
5137,AR,"Stone County, AR",0
5139,AR,"Union County, AR",0
5141,AR,"Van Buren County, AR",0
5143,AR,"Washington County, AR",0
5145,AR,"White County, AR",0
5147,AR,"Woodruff County, AR",0
5149,AR,"Yell County, AR",0
6000,CA,California,0
6001,CA,"Alameda County, CA",0
6003,CA,"Alpine County, CA",0
6005,CA,"Amador County, CA",0
6007,CA,"Butte County, CA",0
6009,CA,"Calaveras County, CA",0
6011,CA,"Colusa County, CA",0
6013,CA,"Contra Costa County, CA",0
6015,CA,"Del Norte County, CA",0
6017,CA,"El Dorado County, CA",0
6019,CA,"Fresno County, CA",0
6021,CA,"Glenn County, CA",0
6023,CA,"Humboldt County, CA",0
6025,CA,"Imperial County, CA",0
6027,CA,"Inyo County, CA",0
6029,CA,"Kern County, CA",0
6031,CA,"Kings County, CA",0
6033,CA,"Lake County, CA",0
6035,CA,"Lassen County, CA",0
6037,CA,"Los Angeles County, CA",0
6039,CA,"Madera County, CA",0
6041,CA,"Marin County, CA",0
6043,CA,"Mariposa County, CA",0
6045,CA,"Mendocino County, CA",0
6047,CA,"Merced County, CA",0
6049,CA,"Modoc County, CA",0
6051,CA,"Mono County, CA",0
6053,CA,"Monterey County, CA",0
6055,CA,"Napa County, CA",0
6057,CA,"Nevada County, CA",0
6059,CA,"Orange County, CA",0
6061,CA,"Placer County, CA",0
6063,CA,"Plumas County, CA",0
6065,CA,"Riverside County, CA",0
6067,CA,"Sacramento County, CA",0
6069,CA,"San Benito County, CA",0
6071,CA,"San Bernardino County, CA",0
6073,CA,"San Diego County, CA",0
6075,CA,"San Francisco County/city, CA",0
6077,CA,"San Joaquin County, CA",0
6079,CA,"San Luis Obispo County, CA",0
6081,CA,"San Mateo County, CA",0
6083,CA,"Santa Barbara County, CA",0
6085,CA,"Santa Clara County, CA",0
6087,CA,"Santa Cruz County, CA",0
6089,CA,"Shasta County, CA",0
6091,CA,"Sierra County, CA",0
6093,CA,"Siskiyou County, CA",0
6095,CA,"Solano County, CA",0
6097,CA,"Sonoma County, CA",0
6099,CA,"Stanislaus County, CA",0
6101,CA,"Sutter County, CA",0
6103,CA,"Tehama County, CA",0
6105,CA,"Trinity County, CA",0
6107,CA,"Tulare County, CA",0
6109,CA,"Tuolumne County, CA",0
6111,CA,"Ventura County, CA",0
6113,CA,"Yolo County, CA",0
6115,CA,"Yuba County, CA",0
8000,CO,Colorado,0
8001,CO,"Adams County, CO",0
8003,CO,"Alamosa County, CO",0
8005,CO,"Arapahoe County, CO",0
8007,CO,"Archuleta County, CO",0
8009,CO,"Baca County, CO",0
8011,CO,"Bent County, CO",0
8013,CO,"Boulder County, CO",0
8014,CO,"Broomfield County/city, CO",0
8015,CO,"Chaffee County, CO",0
8017,CO,"Cheyenne County, CO",0
8019,CO,"Clear Creek County, CO",0
8021,CO,"Conejos County, CO",0
8023,CO,"Costilla County, CO",0
8025,CO,"Crowley County, CO",0
8027,CO,"Custer County, CO",0
8029,CO,"Delta County, CO",0
8031,CO,"Denver County/city, CO",0
8033,CO,"Dolores County, CO",0
8035,CO,"Douglas County, CO",0
8037,CO,"Eagle County, CO",0
8039,CO,"Elbert County, CO",0
8041,CO,"El Paso County, CO",0
8043,CO,"Fremont County, CO",0
8045,CO,"Garfield County, CO",0
8047,CO,"Gilpin County, CO",0
8049,CO,"Grand County, CO",0
8051,CO,"Gunnison County, CO",0
8053,CO,"Hinsdale County, CO",0
8055,CO,"Huerfano County, CO",0
8057,CO,"Jackson County, CO",0
8059,CO,"Jefferson County, CO",0
8061,CO,"Kiowa County, CO",0
8063,CO,"Kit Carson County, CO",0
8065,CO,"Lake County, CO",0
8067,CO,"La Plata County, CO",0
8069,CO,"Larimer County, CO",0
8071,CO,"Las Animas County, CO",0
8073,CO,"Lincoln County, CO",0
8075,CO,"Logan County, CO",0
8077,CO,"Mesa County, CO",0
8079,CO,"Mineral County, CO",0
8081,CO,"Moffat County, CO",0
8083,CO,"Montezuma County, CO",0
8085,CO,"Montrose County, CO",0
8087,CO,"Morgan County, CO",0
8089,CO,"Otero County, CO",0
8091,CO,"Ouray County, CO",0
8093,CO,"Park County, CO",0
8095,CO,"Phillips County, CO",0
8097,CO,"Pitkin County, CO",0
8099,CO,"Prowers County, CO",0
8101,CO,"Pueblo County, CO",0
8103,CO,"Rio Blanco County, CO",0
8105,CO,"Rio Grande County, CO",0
8107,CO,"Routt County, CO",0
8109,CO,"Saguache County, CO",0
8111,CO,"San Juan County, CO",0
8113,CO,"San Miguel County, CO",0
8115,CO,"Sedgwick County, CO",0
8117,CO,"Summit County, CO",0
8119,CO,"Teller County, CO",0
8121,CO,"Washington County, CO",0
8123,CO,"Weld County, CO",0
8125,CO,"Yuma County, CO",0
9000,CT,Connecticut,0
9001,CT,"Fairfield County, CT",0
9003,CT,"Hartford County, CT",0
9005,CT,"Litchfield County, CT",0
9007,CT,"Middlesex County, CT",0
9009,CT,"New Haven County, CT",0
9011,CT,"New London County, CT",0
9013,CT,"Tolland County, CT",0
9015,CT,"Windham County, CT",0
10000,DE,Delaware,0
10001,DE,"Kent County, DE",0
10003,DE,"New Castle County, DE",0
10005,DE,"Sussex County, DE",0
11000,DC,District of Columbia,0
11001,DC,District of Columbia,0
12000,FL,Florida,0
12001,FL,"Alachua County, FL",0
12003,FL,"Baker County, FL",0
12005,FL,"Bay County, FL",0
12007,FL,"Bradford County, FL",0
12009,FL,"Brevard County, FL",0
12011,FL,"Broward County, FL",0
12013,FL,"Calhoun County, FL",0
12015,FL,"Charlotte County, FL",0
12017,FL,"Citrus County, FL",0
12019,FL,"Clay County, FL",0
12021,FL,"Collier County, FL",0
12023,FL,"Columbia County, FL",0
12027,FL,"DeSoto County, FL",0
12029,FL,"Dixie County, FL",0
12031,FL,"Duval County, FL",0
12033,FL,"Escambia County, FL",0
12035,FL,"Flagler County, FL",0
12037,FL,"Franklin County, FL",0
12039,FL,"Gadsden County, FL",0
12041,FL,"Gilchrist County, FL",0
12043,FL,"Glades County, FL",0
12045,FL,"Gulf County, FL",0
12047,FL,"Hamilton County, FL",0
12049,FL,"Hardee County, FL",0
12051,FL,"Hendry County, FL",0
12053,FL,"Hernando County, FL",0
12055,FL,"Highlands County, FL",0
12057,FL,"Hillsborough County, FL",0
12059,FL,"Holmes County, FL",0
12061,FL,"Indian River County, FL",0
12063,FL,"Jackson County, FL",0
12065,FL,"Jefferson County, FL",0
12067,FL,"Lafayette County, FL",0
12069,FL,"Lake County, FL",0
12071,FL,"Lee County, FL",0
12073,FL,"Leon County, FL",0
12075,FL,"Levy County, FL",0
12077,FL,"Liberty County, FL",0
12079,FL,"Madison County, FL",0
12081,FL,"Manatee County, FL",0
12083,FL,"Marion County, FL",0
12085,FL,"Martin County, FL",0
12086,FL,"Miami-Dade County, FL",0
12087,FL,"Monroe County, FL",0
12089,FL,"Nassau County, FL",0
12091,FL,"Okaloosa County, FL",0
12093,FL,"Okeechobee County, FL",0
12095,FL,"Orange County, FL",0
12097,FL,"Osceola County, FL",0
12099,FL,"Palm Beach County, FL",0
12101,FL,"Pasco County, FL",0
12103,FL,"Pinellas County, FL",0
12105,FL,"Polk County, FL",0
12107,FL,"Putnam County, FL",0
12109,FL,"St. Johns County, FL",0
12111,FL,"St. Lucie County, FL",0
12113,FL,"Santa Rosa County, FL",0
12115,FL,"Sarasota County, FL",0
12117,FL,"Seminole County, FL",0
12119,FL,"Sumter County, FL",0
12121,FL,"Suwannee County, FL",0
12123,FL,"Taylor County, FL",0
12125,FL,"Union County, FL",0
12127,FL,"Volusia County, FL",0
12129,FL,"Wakulla County, FL",0
12131,FL,"Walton County, FL",0
12133,FL,"Washington County, FL",0
13000,GA,Georgia,0
13001,GA,"Appling County, GA",0
13003,GA,"Atkinson County, GA",0
13005,GA,"Bacon County, GA",0
13007,GA,"Baker County, GA",0
13009,GA,"Baldwin County, GA",0
13011,GA,"Banks County, GA",0
13013,GA,"Barrow County, GA",0
13015,GA,"Bartow County, GA",0
13017,GA,"Ben Hill County, GA",0
13019,GA,"Berrien County, GA",0
13021,GA,"Bibb County, GA",0
13023,GA,"Bleckley County, GA",0
13025,GA,"Brantley County, GA",0
13027,GA,"Brooks County, GA",0
13029,GA,"Bryan County, GA",0
13031,GA,"Bulloch County, GA",0
13033,GA,"Burke County, GA",0
13035,GA,"Butts County, GA",0
13037,GA,"Calhoun County, GA",0
13039,GA,"Camden County, GA",0
13043,GA,"Candler County, GA",0
13045,GA,"Carroll County, GA",0
13047,GA,"Catoosa County, GA",0
13049,GA,"Charlton County, GA",0
13051,GA,"Chatham County, GA",0
13053,GA,"Chattahoochee County, GA",0
13055,GA,"Chattooga County, GA",0
13057,GA,"Cherokee County, GA",0
13059,GA,"Clarke County, GA",0
13061,GA,"Clay County, GA",0
13063,GA,"Clayton County, GA",0
13065,GA,"Clinch County, GA",0
13067,GA,"Cobb County, GA",0
13069,GA,"Coffee County, GA",0
13071,GA,"Colquitt County, GA",0
13073,GA,"Columbia County, GA",0
13075,GA,"Cook County, GA",0
13077,GA,"Coweta County, GA",0
13079,GA,"Crawford County, GA",0
13081,GA,"Crisp County, GA",0
13083,GA,"Dade County, GA",0
13085,GA,"Dawson County, GA",0
13087,GA,"Decatur County, GA",0
13089,GA,"DeKalb County, GA",0
13091,GA,"Dodge County, GA",0
13093,GA,"Dooly County, GA",0
13095,GA,"Dougherty County, GA",0
13097,GA,"Douglas County, GA",0
13099,GA,"Early County, GA",0
13101,GA,"Echols County, GA",0
13103,GA,"Effingham County, GA",0
13105,GA,"Elbert County, GA",0
13107,GA,"Emanuel County, GA",0
13109,GA,"Evans County, GA",0
13111,GA,"Fannin County, GA",0
13113,GA,"Fayette County, GA",0
13115,GA,"Floyd County, GA",0
13117,GA,"Forsyth County, GA",0
13119,GA,"Franklin County, GA",0
13121,GA,"Fulton County, GA",0
13123,GA,"Gilmer County, GA",0
13125,GA,"Glascock County, GA",0
13127,GA,"Glynn County, GA",0
13129,GA,"Gordon County, GA",0
13131,GA,"Grady County, GA",0
13133,GA,"Greene County, GA",0
13135,GA,"Gwinnett County, GA",0
13137,GA,"Habersham County, GA",0
13139,GA,"Hall County, GA",0
13141,GA,"Hancock County, GA",0
13143,GA,"Haralson County, GA",0
13145,GA,"Harris County, GA",0
13147,GA,"Hart County, GA",0
13149,GA,"Heard County, GA",0
13151,GA,"Henry County, GA",0
13153,GA,"Houston County, GA",0
13155,GA,"Irwin County, GA",0
13157,GA,"Jackson County, GA",0
13159,GA,"Jasper County, GA",0
13161,GA,"Jeff Davis County, GA",0
13163,GA,"Jefferson County, GA",0
13165,GA,"Jenkins County, GA",0
13167,GA,"Johnson County, GA",0
13169,GA,"Jones County, GA",0
13171,GA,"Lamar County, GA",0
13173,GA,"Lanier County, GA",0
13175,GA,"Laurens County, GA",0
13177,GA,"Lee County, GA",0
13179,GA,"Liberty County, GA",0
13181,GA,"Lincoln County, GA",0
13183,GA,"Long County, GA",0
13185,GA,"Lowndes County, GA",0
13187,GA,"Lumpkin County, GA",0
13189,GA,"McDuffie County, GA",0
13191,GA,"McIntosh County, GA",0
13193,GA,"Macon County, GA",0
13195,GA,"Madison County, GA",0
13197,GA,"Marion County, GA",0
13199,GA,"Meriwether County, GA",0
13201,GA,"Miller County, GA",0
13205,GA,"Mitchell County, GA",0
13207,GA,"Monroe County, GA",0
13209,GA,"Montgomery County, GA",0
13211,GA,"Morgan County, GA",0
13213,GA,"Murray County, GA",0
13215,GA,"Muscogee County, GA",0
13217,GA,"Newton County, GA",0
13219,GA,"Oconee County, GA",0
13221,GA,"Oglethorpe County, GA",0
13223,GA,"Paulding County, GA",0
13225,GA,"Peach County, GA",0
13227,GA,"Pickens County, GA",0
13229,GA,"Pierce County, GA",0
13231,GA,"Pike County, GA",0
13233,GA,"Polk County, GA",0
13235,GA,"Pulaski County, GA",0
13237,GA,"Putnam County, GA",0
13239,GA,"Quitman County, GA",0
13241,GA,"Rabun County, GA",0
13243,GA,"Randolph County, GA",0
13245,GA,"Richmond County, GA",0
13247,GA,"Rockdale County, GA",0
13249,GA,"Schley County, GA",0
13251,GA,"Screven County, GA",0
13253,GA,"Seminole County, GA",0
13255,GA,"Spalding County, GA",0
13257,GA,"Stephens County, GA",0
13259,GA,"Stewart County, GA",0
13261,GA,"Sumter County, GA",0
13263,GA,"Talbot County, GA",0
13265,GA,"Taliaferro County, GA",0
13267,GA,"Tattnall County, GA",0
13269,GA,"Taylor County, GA",0
13271,GA,"Telfair County, GA",0
13273,GA,"Terrell County, GA",0
13275,GA,"Thomas County, GA",0
13277,GA,"Tift County, GA",0
13279,GA,"Toombs County, GA",0
13281,GA,"Towns County, GA",0
13283,GA,"Treutlen County, GA",0
13285,GA,"Troup County, GA",0
13287,GA,"Turner County, GA",0
13289,GA,"Twiggs County, GA",0
13291,GA,"Union County, GA",0
13293,GA,"Upson County, GA",0
13295,GA,"Walker County, GA",0
13297,GA,"Walton County, GA",0
13299,GA,"Ware County, GA",0
13301,GA,"Warren County, GA",0
13303,GA,"Washington County, GA",0
13305,GA,"Wayne County, GA",0
13307,GA,"Webster County, GA",0
13309,GA,"Wheeler County, GA",0
13311,GA,"White County, GA",0
13313,GA,"Whitfield County, GA",0
13315,GA,"Wilcox County, GA",0
13317,GA,"Wilkes County, GA",0
13319,GA,"Wilkinson County, GA",0
13321,GA,"Worth County, GA",0
15000,HI,Hawaii,0
15001,HI,"Hawaii County, HI",0
15003,HI,"Honolulu County/city, HI",0
15007,HI,"Kauai County, HI",0
15009,HI,"Maui County, HI",0
16000,ID,Idaho,0
16001,ID,"Ada County, ID",0
16003,ID,"Adams County, ID",0
16005,ID,"Bannock County, ID",0
16007,ID,"Bear Lake County, ID",0
16009,ID,"Benewah County, ID",0
16011,ID,"Bingham County, ID",0
16013,ID,"Blaine County, ID",0
16015,ID,"Boise County, ID",0
16017,ID,"Bonner County, ID",0
16019,ID,"Bonneville County, ID",0
16021,ID,"Boundary County, ID",0
16023,ID,"Butte County, ID",0
16025,ID,"Camas County, ID",0
16027,ID,"Canyon County, ID",0
16029,ID,"Caribou County, ID",0
16031,ID,"Cassia County, ID",0
16033,ID,"Clark County, ID",0
16035,ID,"Clearwater County, ID",0
16037,ID,"Custer County, ID",0
16039,ID,"Elmore County, ID",0
16041,ID,"Franklin County, ID",0
16043,ID,"Fremont County, ID",0
16045,ID,"Gem County, ID",0
16047,ID,"Gooding County, ID",0
16049,ID,"Idaho County, ID",0
16051,ID,"Jefferson County, ID",0
16053,ID,"Jerome County, ID",0
16055,ID,"Kootenai County, ID",0
16057,ID,"Latah County, ID",0
16059,ID,"Lemhi County, ID",0
16061,ID,"Lewis County, ID",0
16063,ID,"Lincoln County, ID",0
16065,ID,"Madison County, ID",0
16067,ID,"Minidoka County, ID",0
16069,ID,"Nez Perce County, ID",0
16071,ID,"Oneida County, ID",0
16073,ID,"Owyhee County, ID",0
16075,ID,"Payette County, ID",0
16077,ID,"Power County, ID",0
16079,ID,"Shoshone County, ID",0
16081,ID,"Teton County, ID",0
16083,ID,"Twin Falls County, ID",0
16085,ID,"Valley County, ID",0
16087,ID,"Washington County, ID",0
17000,IL,Illinois,0
17001,IL,"Adams County, IL",0
17003,IL,"Alexander County, IL",0
17005,IL,"Bond County, IL",0
17007,IL,"Boone County, IL",0
17009,IL,"Brown County, IL",0
17011,IL,"Bureau County, IL",0
17013,IL,"Calhoun County, IL",0
17015,IL,"Carroll County, IL",0
17017,IL,"Cass County, IL",0
17019,IL,"Champaign County, IL",0
17021,IL,"Christian County, IL",0
17023,IL,"Clark County, IL",0
17025,IL,"Clay County, IL",0
17027,IL,"Clinton County, IL",0
17029,IL,"Coles County, IL",0
17031,IL,"Cook County, IL",0
17033,IL,"Crawford County, IL",0
17035,IL,"Cumberland County, IL",0
17037,IL,"DeKalb County, IL",0
17039,IL,"De Witt County, IL",0
17041,IL,"Douglas County, IL",0
17043,IL,"DuPage County, IL",0
17045,IL,"Edgar County, IL",0
17047,IL,"Edwards County, IL",0
17049,IL,"Effingham County, IL",0
17051,IL,"Fayette County, IL",0
17053,IL,"Ford County, IL",0
17055,IL,"Franklin County, IL",0
17057,IL,"Fulton County, IL",0
17059,IL,"Gallatin County, IL",0
17061,IL,"Greene County, IL",0
17063,IL,"Grundy County, IL",0
17065,IL,"Hamilton County, IL",0
17067,IL,"Hancock County, IL",0
17069,IL,"Hardin County, IL",0
17071,IL,"Henderson County, IL",0
17073,IL,"Henry County, IL",0
17075,IL,"Iroquois County, IL",0
17077,IL,"Jackson County, IL",0
17079,IL,"Jasper County, IL",0
17081,IL,"Jefferson County, IL",0
17083,IL,"Jersey County, IL",0
17085,IL,"Jo Daviess County, IL",0
17087,IL,"Johnson County, IL",0
17089,IL,"Kane County, IL",0
17091,IL,"Kankakee County, IL",0
17093,IL,"Kendall County, IL",0
17095,IL,"Knox County, IL",0
17097,IL,"Lake County, IL",0
17099,IL,"LaSalle County, IL",0
17101,IL,"Lawrence County, IL",0
17103,IL,"Lee County, IL",0
17105,IL,"Livingston County, IL",0
17107,IL,"Logan County, IL",0
17109,IL,"McDonough County, IL",0
17111,IL,"McHenry County, IL",0
17113,IL,"McLean County, IL",0
17115,IL,"Macon County, IL",0
17117,IL,"Macoupin County, IL",0
17119,IL,"Madison County, IL",0
17121,IL,"Marion County, IL",0
17123,IL,"Marshall County, IL",0
17125,IL,"Mason County, IL",0
17127,IL,"Massac County, IL",0
17129,IL,"Menard County, IL",0
17131,IL,"Mercer County, IL",0
17133,IL,"Monroe County, IL",0
17135,IL,"Montgomery County, IL",0
17137,IL,"Morgan County, IL",0
17139,IL,"Moultrie County, IL",0
17141,IL,"Ogle County, IL",0
17143,IL,"Peoria County, IL",0
17145,IL,"Perry County, IL",0
17147,IL,"Piatt County, IL",0
17149,IL,"Pike County, IL",0
17151,IL,"Pope County, IL",0
17153,IL,"Pulaski County, IL",0
17155,IL,"Putnam County, IL",0
17157,IL,"Randolph County, IL",0
17159,IL,"Richland County, IL",0
17161,IL,"Rock Island County, IL",0
17163,IL,"St. Clair County, IL",0
17165,IL,"Saline County, IL",0
17167,IL,"Sangamon County, IL",0
17169,IL,"Schuyler County, IL",0
17171,IL,"Scott County, IL",0
17173,IL,"Shelby County, IL",0
17175,IL,"Stark County, IL",0
17177,IL,"Stephenson County, IL",0
17179,IL,"Tazewell County, IL",0
17181,IL,"Union County, IL",0
17183,IL,"Vermilion County, IL",0
17185,IL,"Wabash County, IL",0
17187,IL,"Warren County, IL",0
17189,IL,"Washington County, IL",0
17191,IL,"Wayne County, IL",0
17193,IL,"White County, IL",0
17195,IL,"Whiteside County, IL",0
17197,IL,"Will County, IL",0
17199,IL,"Williamson County, IL",0
17201,IL,"Winnebago County, IL",0
17203,IL,"Woodford County, IL",0
18000,IN,Indiana,0
18001,IN,"Adams County, IN",0
18003,IN,"Allen County, IN",0
18005,IN,"Bartholomew County, IN",0
18007,IN,"Benton County, IN",0
18009,IN,"Blackford County, IN",0
18011,IN,"Boone County, IN",0
18013,IN,"Brown County, IN",0
18015,IN,"Carroll County, IN",0
18017,IN,"Cass County, IN",0
18019,IN,"Clark County, IN",0
18021,IN,"Clay County, IN",0
18023,IN,"Clinton County, IN",0
18025,IN,"Crawford County, IN",0
18027,IN,"Daviess County, IN",0
18029,IN,"Dearborn County, IN",0
18031,IN,"Decatur County, IN",0
18033,IN,"DeKalb County, IN",0
18035,IN,"Delaware County, IN",0
18037,IN,"Dubois County, IN",0
18039,IN,"Elkhart County, IN",0
18041,IN,"Fayette County, IN",0
18043,IN,"Floyd County, IN",0
18045,IN,"Fountain County, IN",0
18047,IN,"Franklin County, IN",0
18049,IN,"Fulton County, IN",0
18051,IN,"Gibson County, IN",0
18053,IN,"Grant County, IN",0
18055,IN,"Greene County, IN",0
18057,IN,"Hamilton County, IN",0
18059,IN,"Hancock County, IN",0
18061,IN,"Harrison County, IN",0
18063,IN,"Hendricks County, IN",0
18065,IN,"Henry County, IN",0
18067,IN,"Howard County, IN",0
18069,IN,"Huntington County, IN",0
18071,IN,"Jackson County, IN",0
18073,IN,"Jasper County, IN",0
18075,IN,"Jay County, IN",0
